iter	Logloss
0	0.6827642325
1	0.6727086753
2	0.6626434143
3	0.6535566054
4	0.6448519552
5	0.636806145
6	0.6287668343
7	0.6213761232
8	0.6140603589
9	0.6072484973
10	0.6008664764
11	0.5944772497
12	0.5889829192
13	0.5833914757
14	0.5778615537
15	0.5726322547
16	0.5677280772
17	0.5631637038
18	0.5590605606
19	0.5550974305
20	0.5510237163
21	0.5469303093
22	0.5434342635
23	0.5395631681
24	0.5362117851
25	0.5328555274
26	0.5299847503
27	0.5267119926
28	0.5237437439
29	0.5208276833
30	0.51831042
31	0.5147839893
32	0.5114938519
33	0.5082872348
34	0.5051766087
35	0.5024621922
36	0.4999517893
37	0.4971147689
38	0.4945829436
39	0.492175507
40	0.4897356196
41	0.4872804766
42	0.4849966827
43	0.4826977022
44	0.4805132158
45	0.4786204871
46	0.4766406928
47	0.4749032095
48	0.4732306337
49	0.4716309794
50	0.4699155559
51	0.4684237162
52	0.4671575099
53	0.4656456184
54	0.4644807075
55	0.4630129456
56	0.461777646
57	0.4604592358
58	0.4587580104
59	0.4571878795
60	0.4556918452
61	0.454336655
62	0.4530368284
63	0.4517405454
64	0.4504730034
65	0.4493225708
66	0.4481661862
67	0.4470736531
68	0.4459939799
69	0.4452303843
70	0.444178139
71	0.4432158079
72	0.4424094576
73	0.441482004
74	0.4406850832
75	0.440022236
76	0.439288103
77	0.4386930183
78	0.4380766033
79	0.4373356695
80	0.4366447495
81	0.4358190638
82	0.4351251845
83	0.4344067539
84	0.4337498112
85	0.4331184608
86	0.4324526368
87	0.431777636
88	0.4310611452
89	0.4303274693
90	0.4297166774
91	0.4290669094
92	0.4284556297
93	0.4279167846
94	0.4274285182
95	0.4268654782
96	0.4262910042
97	0.4257884296
98	0.4252722797
99	0.424848394
100	0.4244975682
101	0.4240958935
102	0.4236622343
103	0.4233227267
104	0.4229855519
105	0.4226956186
106	0.422387112
107	0.4219787899
108	0.4217066748
109	0.4214204734
110	0.4210527006
111	0.420770384
112	0.4205576887
113	0.4202921013
114	0.4200489429
115	0.4197849821
116	0.419651663
117	0.4193949612
118	0.4190928676
119	0.4188599017
120	0.4187085158
121	0.4185183973
122	0.4182357568
123	0.4180344534
124	0.4176855907
125	0.4174516505
126	0.4172060353
127	0.4168230531
128	0.4165883919
129	0.4163191792
130	0.4161303224
131	0.4159770417
132	0.4158530117
133	0.4155913952
134	0.4153792892
135	0.4152361545
136	0.4150307951
137	0.4148279718
138	0.414536197
139	0.4143458522
140	0.4142036224
141	0.4140142811
142	0.4138223614
143	0.4137108556
144	0.4136092232
145	0.4135165114
146	0.4133461664
147	0.4131760697
148	0.4130386578
149	0.4128225898
150	0.4126693319
151	0.4124391684
152	0.4122269951
153	0.4120763273
154	0.4119148453
155	0.4117585498
156	0.4116418594
157	0.4115716964
158	0.4113558139
159	0.4111527603
160	0.4110198536
161	0.4108770959
162	0.4107181565
163	0.4106016041
164	0.4104414744
165	0.4103865782
166	0.4102122836
167	0.4100622727
168	0.4099443672
169	0.4097762718
170	0.4095963085
171	0.4095250766
172	0.4093902952
173	0.4092970631
174	0.4091796396
175	0.4090750947
176	0.4089786432
177	0.4088414147
178	0.4087910626
179	0.408646652
180	0.4085512658
181	0.4083909229
182	0.4083120398
183	0.408274916
184	0.4081643211
185	0.4081252219
186	0.4081026796
