iter	Passed	Remaining
0	6	1263
1	13	1287
2	19	1219
3	27	1260
4	33	1218
5	39	1190
6	45	1176
7	51	1160
8	58	1148
9	63	1132
10	70	1125
11	76	1112
12	82	1105
13	90	1114
14	99	1138
15	108	1155
16	116	1168
17	123	1161
18	131	1158
19	138	1158
20	145	1151
21	152	1142
22	160	1142
23	166	1130
24	174	1130
25	181	1121
26	187	1113
27	194	1103
28	200	1094
29	207	1083
30	214	1077
31	220	1068
32	228	1064
33	234	1055
34	240	1045
35	246	1034
36	252	1025
37	258	1014
38	264	1005
39	270	995
40	276	985
41	282	976
42	288	966
43	295	959
44	301	950
45	307	941
46	313	932
47	319	923
48	324	915
49	332	909
50	337	901
51	344	893
52	348	881
53	354	872
54	358	861
55	364	853
56	370	845
57	377	838
58	384	833
59	391	827
60	397	821
61	403	814
62	410	807
63	416	800
64	423	794
65	429	787
66	435	780
67	442	774
68	448	767
69	453	757
70	459	750
71	466	745
72	472	738
73	479	732
74	485	725
75	492	719
76	498	712
77	505	706
78	511	699
79	518	693
80	524	686
81	531	680
82	540	676
83	549	673
84	559	671
85	565	664
86	572	658
87	580	653
88	589	648
89	596	643
90	603	636
91	611	631
92	618	624
93	625	618
94	632	612
95	639	606
96	646	600
97	653	593
98	660	587
99	668	581
100	676	575
101	694	579
102	701	571
103	707	564
104	713	557
105	719	550
106	726	543
107	732	535
108	738	528
109	744	521
110	750	514
111	757	506
112	763	499
113	770	493
114	776	485
115	782	479
116	786	470
117	791	462
118	797	455
119	803	448
120	810	441
121	816	434
122	823	428
123	829	421
124	836	414
125	842	407
126	849	401
127	855	394
128	862	387
129	868	380
130	874	373
131	880	367
132	887	360
133	893	353
134	900	346
135	906	339
136	913	333
137	919	326
138	925	319
139	932	313
140	938	306
141	944	299
142	950	292
143	956	285
144	962	278
145	969	272
146	976	265
147	985	259
148	995	253
149	1004	247
150	1010	241
151	1018	234
152	1026	228
153	1033	221
154	1039	214
155	1046	208
156	1053	201
157	1060	194
158	1066	187
159	1072	181
160	1079	174
161	1086	167
162	1092	160
163	1099	154
164	1105	147
165	1112	140
166	1119	134
167	1125	127
168	1131	120
169	1137	113
170	1143	106
171	1149	100
172	1155	93
173	1162	86
174	1168	80
175	1173	73
176	1180	66
177	1186	60
178	1192	53
179	1198	46
180	1205	39
181	1211	33
182	1217	26
183	1223	19
184	1228	13
185	1234	6
186	1240	0
